step,time_elapsed,mean_reward,std_reward
4540000,1203.335,0.301,0.926
4550000,1224.647,0.317,0.915
4560000,1245.596,0.232,0.955
4570000,1266.678,0.263,0.936
4580000,1287.501,0.241,0.947
4590000,1308.934,0.264,0.943
4600000,1329.786,0.284,0.933
4610000,1350.768,0.201,0.956
4620000,1388.031,0.33,0.91
4630000,1409.292,0.36,0.896
4640000,1430.15,0.206,0.962
4650000,1451.608,0.254,0.948
4660000,1472.623,0.107,0.982
4670000,1493.674,0.248,0.94
4680000,1514.514,0.283,0.93
4690000,1535.842,0.339,0.909
4700000,1556.691,0.283,0.944
4710000,1577.793,0.169,0.973
4720000,1615.098,0.269,0.939
4730000,1635.778,0.223,0.952
4740000,1656.954,0.175,0.959
4750000,1677.98,0.321,0.925
4760000,1699.716,0.176,0.972
4770000,1720.266,0.217,0.948
4780000,1741.768,0.315,0.918
4790000,1762.762,0.223,0.945
4800000,1783.958,0.363,0.904
4810000,1805.109,0.254,0.946
4820000,1845.471,0.377,0.889
4830000,1864.158,0.19,0.962
4840000,1885.413,0.277,0.929
4850000,1906.195,0.209,0.963
4860000,1927.28,0.258,0.939
4870000,1948.539,0.258,0.945
4880000,1969.889,0.297,0.925
4890000,1990.991,0.246,0.948
4900000,2012.478,0.098,0.985
4910000,2033.656,0.289,0.932
4920000,2055.176,0.257,0.949
4930000,2092.572,0.374,0.898
4940000,2113.673,0.363,0.899
4950000,2134.875,0.501,0.812
4960000,2155.941,0.288,0.935
4970000,2177.019,0.301,0.927
4980000,2198.011,0.416,0.871
4990000,2219.543,0.369,0.893
5000000,2240.531,0.2,0.975
5010000,2261.616,0.269,0.934
5020000,2282.677,0.19,0.962
5030000,2320.322,0.344,0.908
5040000,2341.397,0.353,0.903
5050000,2362.653,0.18,0.974
5060000,2383.893,0.249,0.95
5070000,2404.915,0.214,0.95
5080000,2426.249,0.239,0.956
5090000,2447.023,0.177,0.967
5100000,2468.596,0.376,0.897
5110000,2489.888,0.238,0.949
5120000,2510.712,0.268,0.938
5130000,2547.946,0.348,0.907
5140000,2569.075,0.365,0.901
5150000,2590.464,0.325,0.918
5160000,2611.561,0.41,0.877
5170000,2632.555,0.293,0.93
5180000,2653.522,0.278,0.939
5190000,2675.102,0.304,0.929
5200000,2696.105,0.279,0.934
5210000,2717.519,0.299,0.93
5220000,2738.235,0.198,0.959
5230000,2777.721,0.277,0.929
5240000,2796.94,0.22,0.961
5250000,2817.83,0.16,0.973
5260000,2839.021,0.316,0.922
5270000,2860.143,0.173,0.962
5280000,2881.329,0.233,0.951
5290000,2902.52,0.378,0.9
5300000,2923.463,0.283,0.931
5310000,2945.023,0.25,0.945
5320000,2965.797,0.222,0.95
5330000,2986.987,0.283,0.936
5340000,3025.401,0.24,0.956
5350000,3046.281,0.111,0.986
5360000,3067.646,0.253,0.945
5370000,3088.691,0.201,0.965
5380000,3109.849,0.265,0.945
5390000,3131.036,0.235,0.959
5400000,3152.224,0.335,0.914
5410000,3173.32,0.313,0.919
5420000,3194.691,0.326,0.916
5430000,3215.799,0.36,0.906
5440000,3252.833,0.244,0.949
5450000,3273.975,0.201,0.963
5460000,3295.426,0.175,0.966
5470000,3316.419,0.349,0.91
5480000,3337.625,0.323,0.92
5490000,3358.601,0.29,0.934
5500000,3379.679,0.391,0.887
5510000,3401.144,0.255,0.942
5520000,3422.659,0.277,0.944
5530000,3443.464,0.313,0.923
5540000,3480.411,0.371,0.896
5550000,3501.79,0.158,0.972
5560000,3522.921,0.329,0.917
5570000,3543.975,0.334,0.914
5580000,3565.069,0.365,0.895
5590000,3585.785,0.263,0.935
5600000,3607.331,0.239,0.956
5610000,3628.553,0.316,0.921
5620000,3649.579,0.312,0.934
5630000,3670.45,0.312,0.93
5640000,3710.705,0.32,0.924
5650000,3729.68,0.339,0.917
5660000,3751.096,0.18,0.977
5670000,3772.43,0.294,0.93
5680000,3793.517,0.378,0.891
5690000,3814.828,0.219,0.951
5700000,3836.182,0.228,0.956
5710000,3857.293,0.298,0.926
5720000,3878.103,0.393,0.89
5730000,3899.711,0.417,0.875
5740000,3920.88,0.287,0.933
5750000,3958.321,0.383,0.889
5760000,3979.439,0.24,0.955
5770000,4000.389,0.257,0.947
5780000,4021.769,0.305,0.919
5790000,4042.841,0.09,0.986
5800000,4064.097,0.392,0.887
5810000,4085.338,0.374,0.897
5820000,4106.665,0.201,0.96
5830000,4128.277,0.273,0.94
5840000,4149.256,0.356,0.907
5850000,4187.163,0.317,0.916
5860000,4208.456,0.322,0.924
5870000,4229.857,0.173,0.969
5880000,4251.712,0.262,0.945
5890000,4273.066,0.268,0.944
5900000,4294.464,0.397,0.877
5910000,4315.52,0.251,0.943
5920000,4335.34,0.282,0.933
5930000,4355.164,0.119,0.991
5940000,4375.114,0.144,0.982
5950000,4410.884,0.253,0.935
5960000,4431.125,0.291,0.931
5970000,4450.837,0.416,0.87
5980000,4470.552,0.214,0.952
5990000,4490.07,0.39,0.895
6000000,4509.559,0.268,0.943
6010000,4529.34,0.382,0.894
6020000,4548.439,0.34,0.918
6030000,4569.524,0.368,0.891
6040000,4590.867,0.298,0.924
6050000,4630.053,0.434,0.86
6060000,4650.296,0.284,0.936
6070000,4670.996,0.276,0.94
6080000,4692.083,0.377,0.899
6090000,4713.206,0.258,0.939
6100000,4734.443,0.277,0.935
6110000,4755.711,0.284,0.931
6120000,4776.823,0.369,0.899
6130000,4797.734,0.307,0.93
6140000,4819.07,0.246,0.948
6150000,4840.282,0.339,0.914
6160000,4877.568,0.331,0.92
6170000,4898.94,0.222,0.957
6180000,4920.133,0.326,0.923
6190000,4941.356,0.277,0.939
6200000,4962.773,0.396,0.883
6210000,4983.966,0.35,0.913
6220000,5005.171,0.339,0.91
6230000,5025.511,0.116,0.984
6240000,5044.486,0.099,0.98
6250000,5064.191,0.334,0.913
6260000,5100.359,0.213,0.957
6270000,5122.674,0.343,0.91
6280000,5144.42,0.33,0.916
6290000,5166.274,0.286,0.933
6300000,5187.725,0.413,0.872
6310000,5209.612,0.112,0.985
6320000,5230.872,0.405,0.875
6330000,5252.851,0.149,0.969
6340000,5274.324,0.284,0.929
6350000,5295.71,0.313,0.923
6360000,5334.06,0.252,0.947
6370000,5355.251,0.352,0.903
6380000,5376.99,0.403,0.884
6390000,5398.489,0.317,0.918
6400000,5419.927,0.442,0.861
6410000,5441.778,0.296,0.929
6420000,5463.178,0.326,0.914
6430000,5484.881,0.249,0.942
6440000,5506.166,0.198,0.968
6450000,5527.989,0.426,0.869
6460000,5567.361,0.325,0.915
6470000,5587.677,0.255,0.938
6480000,5609.247,0.187,0.966
6490000,5630.896,0.25,0.943
6500000,5652.493,0.359,0.904
6510000,5673.777,0.296,0.933
6520000,5696.213,0.277,0.941
6530000,5717.014,0.23,0.95
6540000,5738.709,0.195,0.963
6550000,5760.48,0.32,0.921
6560000,5782.157,0.296,0.932
6570000,5820.414,0.356,0.908
6580000,5841.921,0.211,0.962
6590000,5863.571,0.27,0.941
6600000,5885.27,0.304,0.93
6610000,5907.356,0.317,0.916
6620000,5928.647,0.428,0.868
6630000,5950.261,0.339,0.912
6640000,5971.976,0.311,0.927
6650000,5993.656,0.469,0.839
6660000,6015.064,0.358,0.895
6670000,6053.032,0.384,0.893
6680000,6074.467,0.296,0.933
6690000,6096.202,0.431,0.874
6700000,6118.237,0.314,0.925
6710000,6139.625,0.348,0.907
6720000,6161.158,0.317,0.915
6730000,6182.614,0.4,0.879
6740000,6204.269,0.311,0.923
6750000,6225.921,0.38,0.89
6760000,6247.351,0.376,0.893
6770000,6285.2,0.368,0.899
6780000,6306.696,0.237,0.952
6790000,6328.284,0.216,0.955
6800000,6349.944,0.38,0.898
6810000,6371.242,0.246,0.941
6820000,6393.089,0.293,0.929
6830000,6414.707,0.198,0.958
6840000,6436.329,0.226,0.951
6850000,6457.995,0.236,0.947
6860000,6479.388,0.378,0.895
6870000,6517.593,0.22,0.957
6880000,6538.916,0.352,0.905
6890000,6560.554,0.201,0.962
6900000,6582.718,0.191,0.969
6910000,6604.406,0.379,0.89
6920000,6626.44,0.399,0.884
6930000,6648.472,0.382,0.894
6940000,6670.493,0.359,0.907
6950000,6692.459,0.354,0.906
6960000,6714.371,0.307,0.925
6970000,6736.668,0.326,0.918
6980000,6774.883,0.326,0.923
6990000,6796.808,0.31,0.925
7000000,6818.703,0.33,0.923
7010000,6840.495,0.299,0.93
7020000,6862.498,0.319,0.925
7030000,6884.49,0.334,0.914
7040000,6905.9,0.245,0.949
7050000,6927.686,0.403,0.893
7060000,6949.746,0.365,0.904
7070000,6971.339,0.314,0.926
7080000,7009.643,0.302,0.931
7090000,7030.818,0.355,0.909
7100000,7052.686,0.196,0.963
7110000,7074.693,0.314,0.923
7120000,7095.792,0.238,0.952
7130000,7117.909,0.326,0.919
7140000,7139.041,0.347,0.906
7150000,7161.141,0.323,0.92
7160000,7182.572,0.36,0.91
7170000,7204.258,0.239,0.95
7180000,7242.195,0.464,0.851
7190000,7263.694,0.296,0.936
7200000,7285.288,0.41,0.879
7210000,7307.032,0.349,0.914
7220000,7328.905,0.382,0.891
7230000,7350.988,0.37,0.903
7240000,7372.555,0.411,0.872
7250000,7394.072,0.435,0.863
7260000,7415.472,0.496,0.831
7270000,7437.24,0.35,0.914
7280000,7475.787,0.298,0.939
7290000,7497.456,0.355,0.908
7300000,7518.842,0.41,0.879
7310000,7540.665,0.369,0.9
7320000,7562.357,0.199,0.963
7330000,7584.204,0.424,0.863
7340000,7605.329,0.268,0.939
7350000,7627.006,0.381,0.899
7360000,7648.551,0.322,0.921
7370000,7671.053,0.235,0.953
7380000,7693.645,0.276,0.933
7390000,7731.668,0.424,0.873
7400000,7753.272,0.334,0.918
7410000,7774.876,0.28,0.939
7420000,7796.772,0.456,0.848
7430000,7818.399,0.291,0.933
7440000,7840.215,0.358,0.905
7450000,7861.877,0.31,0.926
7460000,7883.337,0.346,0.911
7470000,7905.069,0.339,0.921
7480000,7926.952,0.461,0.852
7490000,7965.201,0.357,0.91
7500000,7986.616,0.262,0.942
7510000,8008.386,0.347,0.908
7520000,8030.027,0.482,0.837
7530000,8051.624,0.367,0.895
7540000,8073.322,0.326,0.92
7550000,8095.864,0.377,0.898
7560000,8116.889,0.326,0.916
7570000,8138.577,0.378,0.885
7580000,8159.742,0.218,0.961
7590000,8198.373,0.257,0.946
7600000,8219.83,0.364,0.9
7610000,8241.393,0.261,0.943
7620000,8263.013,0.296,0.925
7630000,8285.037,0.306,0.93
7640000,8306.778,0.295,0.924
7650000,8326.77,0.361,0.906
7660000,8345.744,0.222,0.953
7670000,8365.296,0.251,0.948
7680000,8384.718,0.22,0.954
7690000,8420.694,0.301,0.934
7700000,8440.042,0.167,0.967
7710000,8459.433,0.295,0.935
7720000,8478.789,0.33,0.912
7730000,8498.236,0.322,0.917
7740000,8517.845,0.39,0.892
7750000,8536.83,0.322,0.921
7760000,8556.203,0.203,0.964
7770000,8575.694,0.375,0.901
7780000,8595.264,0.167,0.974
7790000,8614.885,0.3,0.926
7800000,8650.963,0.326,0.918
7810000,8670.367,0.346,0.909
7820000,8690.075,0.492,0.829
7830000,8709.717,0.264,0.945
7840000,8729.368,0.246,0.949
7850000,8748.937,0.37,0.898
7860000,8768.266,0.425,0.872
7870000,8787.597,0.402,0.883
7880000,8807.377,0.302,0.923
7890000,8826.611,0.169,0.969
7900000,8862.515,0.259,0.948
7910000,8881.893,0.33,0.919
7920000,8901.124,0.388,0.888
7930000,8920.793,0.338,0.916
7940000,8940.073,0.365,0.905
7950000,8959.412,0.397,0.88
7960000,8979.009,0.239,0.945
7970000,8998.712,0.416,0.878
7980000,9017.672,0.227,0.95
7990000,9037.23,0.327,0.917
8000000,9073.061,0.362,0.905
8010000,9092.808,0.244,0.959
8020000,9112.276,0.351,0.905
8030000,9131.775,0.318,0.93
8040000,9151.286,0.225,0.955
8050000,9170.599,0.196,0.966
8060000,9189.973,0.237,0.954
8070000,9209.505,0.402,0.889
8080000,9229.642,0.19,0.966
8090000,9248.583,0.289,0.938
8100000,9284.648,0.244,0.954
8110000,9303.702,0.218,0.963
8120000,9323.512,0.394,0.886
8130000,9343.074,0.377,0.897
8140000,9362.35,0.288,0.932
8150000,9381.935,0.331,0.922
