step,time_elapsed,mean_reward,std_reward
491000,4690.394,-0.653,0.764
492000,4701.732,-0.72,0.703
493000,4712.7,-0.927,0.398
494000,4723.393,-0.832,0.567
495000,4733.576,-0.765,0.653
496000,4743.871,-0.635,0.78
497000,4756.045,-0.839,0.558
498000,4765.762,-0.641,0.775
499000,4778.323,-0.837,0.56
500000,4788.16,-0.644,0.772
501000,4798.616,-0.821,0.583
502000,4810.597,-0.663,0.756
503000,4821.407,-0.693,0.728
504000,4833.212,-0.751,0.67
505000,4843.624,-0.859,0.527
506000,4854.916,-0.573,0.825
507000,4865.644,-0.872,0.506
508000,4877.139,-0.745,0.676
509000,4886.805,-0.811,0.596
510000,4896.983,-0.725,0.698
511000,4909.523,-0.795,0.618
512000,4919.587,-0.706,0.716
513000,4929.939,-0.712,0.711
514000,4942.117,-0.801,0.61
515000,4953.213,-0.805,0.605
516000,4963.835,-0.789,0.625
517000,4973.772,-0.745,0.676
518000,4984.452,-0.613,0.798
519000,4995.204,-0.795,0.617
520000,5006.089,-0.764,0.655
521000,5016.301,-0.735,0.686
522000,5026.589,-0.732,0.692
523000,5036.666,-0.841,0.553
524000,5046.932,-0.802,0.607
525000,5057.569,-0.797,0.614
526000,5066.173,-0.812,0.595
527000,5077.423,-0.681,0.741
528000,5088.915,-0.762,0.657
529000,5098.325,-0.725,0.698
530000,5110.581,-0.65,0.767
531000,5120.586,-0.717,0.706
532000,5132.21,-0.749,0.672
533000,5142.367,-0.709,0.714
534000,5153.654,-0.813,0.593
535000,5163.224,-0.818,0.586
536000,5176.422,-0.873,0.504
537000,5187.471,-0.64,0.776
538000,5198.138,-0.801,0.611
539000,5208.155,-0.616,0.795
540000,5220.258,-0.863,0.519
541000,5231.154,-0.72,0.703
542000,5243.295,-0.725,0.697
543000,5252.758,-0.695,0.727
544000,5264.945,-0.788,0.626
545000,5276.91,-0.669,0.751
546000,5287.263,-0.688,0.734
547000,5297.228,-0.706,0.717
548000,5309.024,-0.618,0.793
549000,5319.854,-0.803,0.608
550000,5329.716,-0.702,0.721
551000,5341.525,-0.792,0.621
552000,5353.559,-0.626,0.786
553000,5363.953,-0.744,0.677
554000,5373.973,-0.72,0.702
555000,5386.335,-0.842,0.553
556000,5396.114,-0.808,0.6
557000,5407.673,-0.646,0.771
558000,5417.979,-0.72,0.703
559000,5429.685,-0.869,0.509
560000,5441.185,-0.756,0.664
561000,5450.867,-0.663,0.756
562000,5462.987,-0.763,0.657
563000,5472.945,-0.81,0.598
564000,5483.746,-0.698,0.724
565000,5494.483,-0.712,0.712
566000,5506.623,-0.818,0.587
567000,5516.695,-0.774,0.643
568000,5528.504,-0.644,0.772
569000,5538.325,-0.704,0.718
570000,5550.423,-0.772,0.646
571000,5560.615,-0.678,0.743
572000,5571.987,-0.68,0.74
573000,5583.624,-0.774,0.643
574000,5593.696,-0.728,0.695
575000,5605.38,-0.692,0.729
576000,5615.317,-0.727,0.695
577000,5626.569,-0.712,0.71
578000,5638.426,-0.699,0.723
579000,5648.919,-0.688,0.734
580000,5659.941,-0.821,0.582
581000,5669.9,-0.79,0.624
582000,5681.964,-0.758,0.662
583000,5693.661,-0.738,0.684
584000,5703.661,-0.657,0.761
585000,5715.53,-0.788,0.626
586000,5725.145,-0.648,0.769
587000,5737.27,-0.712,0.711
588000,5747.397,-0.754,0.667
589000,5759.661,-0.801,0.61
590000,5769.36,-0.747,0.674
591000,5781.333,-0.72,0.703
592000,5792.546,-0.719,0.703
593000,5802.62,-0.693,0.728
594000,5814.273,-0.826,0.575
595000,5824.098,-0.644,0.771
596000,5835.94,-0.702,0.72
597000,5846.873,-0.815,0.591
598000,5858.478,-0.742,0.679
599000,5868.142,-0.745,0.676
600000,5879.863,-0.74,0.682
601000,5890.073,-0.805,0.605
602000,5901.886,-0.687,0.735
603000,5912.22,-0.784,0.632
604000,5923.622,-0.692,0.729
605000,5934.315,-0.732,0.691
606000,5944.617,-0.678,0.743
607000,5956.781,-0.696,0.726
608000,5968.447,-0.71,0.713
609000,5978.629,-0.77,0.649
610000,5990.739,-0.535,0.85
611000,6000.621,-0.725,0.698
612000,6012.022,-0.76,0.659
613000,6021.66,-0.795,0.616
614000,6033.845,-0.693,0.729
615000,6045.416,-0.707,0.715
616000,6055.65,-0.691,0.731
617000,6065.943,-0.712,0.711
618000,6077.528,-0.74,0.682
619000,6089.245,-0.689,0.732
620000,6099.289,-0.641,0.775
621000,6111.057,-0.738,0.684
622000,6121.093,-0.651,0.767
623000,6133.114,-0.788,0.627
624000,6142.684,-0.657,0.762
625000,6154.899,-0.805,0.605
626000,6166.947,-0.736,0.685
627000,6176.948,-0.725,0.697
628000,6190.032,-0.699,0.723
629000,6201.891,-0.839,0.558
630000,6214.212,-0.761,0.659
631000,6226.909,-0.655,0.763
632000,6239.599,-0.709,0.713
633000,6252.774,-0.639,0.776
634000,6262.706,-0.683,0.738
635000,6274.189,-0.74,0.682
636000,6285.805,-0.717,0.705
637000,6295.946,-0.78,0.637
638000,6307.411,-0.747,0.674
639000,6319.045,-0.71,0.713
640000,6329.381,-0.723,0.7
641000,6339.946,-0.653,0.764
642000,6351.967,-0.704,0.719
643000,6362.474,-0.778,0.639
644000,6373.765,-0.751,0.669
645000,6385.169,-0.819,0.584
646000,6395.174,-0.669,0.751
647000,6407.056,-0.648,0.77
648000,6417.136,-0.678,0.743
649000,6427.952,-0.832,0.567
650000,6440.141,-0.669,0.752
651000,6450.205,-0.699,0.723
652000,6462.071,-0.526,0.856
653000,6471.591,-0.704,0.719
654000,6482.74,-0.738,0.684
655000,6491.736,-0.816,0.589
656000,6501.825,-0.791,0.622
657000,6513.474,-0.655,0.762
658000,6523.189,-0.624,0.789
659000,6532.417,-0.803,0.608
660000,6542.169,-0.65,0.768
661000,6553.129,-0.687,0.735
662000,6563.156,-0.57,0.828
663000,6573.916,-0.751,0.669
664000,6584.479,-0.828,0.573
665000,6593.927,-0.608,0.8
666000,6604.193,-0.741,0.68
667000,6614.868,-0.7,0.722
668000,6624.077,-0.808,0.6
669000,6635.041,-0.722,0.7
670000,6645.857,-0.702,0.72
671000,6654.871,-0.869,0.509
672000,6665.66,-0.651,0.766
673000,6675.479,-0.749,0.672
674000,6687.304,-0.754,0.667
675000,6698.156,-0.674,0.746
676000,6709.569,-0.654,0.763
677000,6719.082,-0.749,0.671
678000,6729.885,-0.668,0.751
679000,6741.165,-0.674,0.745
680000,6752.621,-0.811,0.596
681000,6762.182,-0.576,0.824
682000,6773.982,-0.692,0.73
683000,6784.472,-0.813,0.595
684000,6795.512,-0.751,0.669
685000,6805.773,-0.685,0.736
686000,6817.191,-0.68,0.74
687000,6826.811,-0.651,0.766
688000,6838.509,-0.642,0.773
689000,6850.021,-0.73,0.692
690000,6860.943,-0.741,0.68
691000,6870.801,-0.601,0.806
692000,6882.341,-0.808,0.6
693000,6892.241,-0.693,0.729
694000,6904.188,-0.669,0.751
695000,6913.74,-0.71,0.713
696000,6925.113,-0.783,0.631
697000,6936.01,-0.823,0.579
698000,6945.973,-0.749,0.671
699000,6956.632,-0.654,0.763
700000,6968.045,-0.707,0.716
701000,6979.035,-0.692,0.73
702000,6989.638,-0.682,0.74
703000,7000.89,-0.797,0.614
704000,7012.069,-0.68,0.74
705000,7022.324,-0.73,0.692
706000,7033.246,-0.668,0.751
707000,7045.064,-0.594,0.811
708000,7055.223,-0.762,0.657
709000,7067.136,-0.678,0.743
710000,7078.406,-0.68,0.741
711000,7088.3,-0.699,0.723
712000,7100.226,-0.696,0.726
713000,7110.16,-0.634,0.78
714000,7121.611,-0.695,0.727
715000,7131.58,-0.797,0.614
716000,7143.402,-0.823,0.58
717000,7154.369,-0.764,0.654
718000,7164.514,-0.788,0.627
719000,7175.885,-0.686,0.735
720000,7185.571,-0.787,0.627
721000,7197.405,-0.763,0.656
722000,7207.539,-0.751,0.67
723000,7218.798,-0.756,0.664
724000,7228.984,-0.675,0.746
725000,7240.187,-0.635,0.779
726000,7249.836,-0.653,0.764
727000,7262.065,-0.808,0.601
728000,7273.147,-0.657,0.761
729000,7282.988,-0.85,0.54
730000,7294.651,-0.597,0.809
731000,7306.537,-0.806,0.603
732000,7316.236,-0.783,0.631
733000,7327.663,-0.704,0.718
734000,7338.993,-0.778,0.638
735000,7349.648,-0.744,0.677
736000,7359.545,-0.704,0.718
737000,7371.214,-0.669,0.751
738000,7380.915,-0.618,0.792
739000,7392.182,-0.672,0.749
740000,7403.733,-0.76,0.659
741000,7415.055,-0.784,0.631
742000,7424.615,-0.828,0.573
743000,7436.417,-0.641,0.775
744000,7446.324,-0.774,0.643
745000,7457.982,-0.663,0.757
746000,7467.739,-0.681,0.74
747000,7479.051,-0.697,0.725
748000,7490.367,-0.795,0.617
749000,7499.863,-0.783,0.631
750000,7511.185,-0.538,0.848
751000,7523.215,-0.715,0.708
752000,7533.027,-0.76,0.659
753000,7543.687,-0.816,0.59
754000,7555.999,-0.751,0.669
755000,7567.345,-0.82,0.584
756000,7577.555,-0.699,0.723
757000,7589.521,-0.761,0.659
758000,7599.986,-0.728,0.695
759000,7610.19,-0.78,0.637
760000,7621.762,-0.597,0.808
761000,7632.172,-0.72,0.703
762000,7642.167,-0.699,0.723
763000,7653.775,-0.628,0.785
764000,7665.415,-0.797,0.614
765000,7675.925,-0.747,0.675
766000,7687.865,-0.693,0.729
767000,7697.861,-0.692,0.73
768000,7709.763,-0.77,0.648
769000,7721.92,-0.774,0.643
770000,7732.697,-0.669,0.751
771000,7743.34,-0.712,0.71
772000,7752.529,-0.651,0.766
773000,7763.673,-0.731,0.692
774000,7772.763,-0.852,0.536
775000,7783.448,-0.684,0.737
776000,7793.268,-0.828,0.571
777000,7804.532,-0.715,0.708
778000,7813.249,-0.749,0.672
779000,7823.761,-0.772,0.644
780000,7834.11,-0.677,0.743
781000,7845.279,-0.699,0.723
782000,7855.006,-0.685,0.737
783000,7864.05,-0.672,0.748
784000,7875.069,-0.695,0.727
785000,7885.08,-0.726,0.695
786000,7894.747,-0.733,0.688
787000,7905.493,-0.643,0.773
788000,7916.27,-0.747,0.674
789000,7926.958,-0.583,0.819
790000,7937.309,-0.719,0.703
791000,7946.612,-0.709,0.713
792000,7957.197,-0.68,0.741
793000,7967.737,-0.762,0.656
794000,7977.915,-0.726,0.696
795000,7987.337,-0.72,0.703
796000,7997.852,-0.726,0.695
797000,8009.042,-0.837,0.559
798000,8020.358,-0.697,0.724
799000,8032.116,-0.831,0.569
800000,8041.719,-0.813,0.593
801000,8053.273,-0.764,0.655
802000,8063.648,-0.669,0.752
803000,8074.86,-0.804,0.605
804000,8086.656,-0.788,0.626
805000,8096.575,-0.745,0.677
806000,8107.949,-0.692,0.73
807000,8118.739,-0.627,0.785
808000,8130.417,-0.639,0.776
809000,8140.427,-0.792,0.622
810000,8151.691,-0.641,0.775
811000,8162.825,-0.743,0.678
812000,8174.855,-0.678,0.744
813000,8184.821,-0.774,0.644
814000,8196.367,-0.687,0.735
815000,8207.517,-0.624,0.788
816000,8219.181,-0.758,0.662
817000,8230.029,-0.575,0.823
818000,8240.99,-0.671,0.749
819000,8252.669,-0.76,0.659
820000,8262.335,-0.672,0.748
821000,8274.283,-0.712,0.711
822000,8284.477,-0.693,0.729
823000,8295.756,-0.802,0.607
824000,8307.491,-0.644,0.772
825000,8317.438,-0.74,0.682
